Area,ISOCode,Year,Age,Sex,Population
Bahrain,48,2005,0--4,Male,30.25
Bahrain,48,2010,0--4,Male,47.49
Bahrain,48,2015,0--4,Male,63.55
Bangladesh,50,1970,0--4,Male,6151.92
Bangladesh,50,1975,0--4,Male,6243.99
Bangladesh,50,1980,0--4,Male,7177.18
Bangladesh,50,1985,0--4,Male,7993.83
Bangladesh,50,1990,0--4,Male,8402.15
Bangladesh,50,1995,0--4,Male,8457.52
Bangladesh,50,2000,0--4,Male,8402.11
Bangladesh,50,2005,0--4,Male,8178.52
Bangladesh,50,2010,0--4,Male,7514.64
Bangladesh,50,2015,0--4,Male,7511.39
Armenia,51,1970,0--4,Male,149.73
Armenia,51,1975,0--4,Male,153.62
Armenia,51,1980,0--4,Male,169.02
Armenia,51,1985,0--4,Male,193.41
Armenia,51,1990,0--4,Male,197.53
Armenia,51,1995,0--4,Male,148.71
Armenia,51,2000,0--4,Male,105.1
Armenia,51,2005,0--4,Male,112.58
Armenia,51,2010,0--4,Male,121.01
Armenia,51,2015,0--4,Male,104.13
Barbados,52,1970,0--4,Male,13.22
Barbados,52,1975,0--4,Male,11.15
Barbados,52,1980,0--4,Male,10.82
Barbados,52,1985,0--4,Male,10.7
Barbados,52,1990,0--4,Male,10.35
Barbados,52,1995,0--4,Male,10.03
Barbados,52,2000,0--4,Male,9.72
Barbados,52,2005,0--4,Male,7.4
Barbados,52,2010,0--4,Male,7.39
Barbados,52,2015,0--4,Male,6.86
Belgium,56,1970,0--4,Male,372.32
Belgium,56,1975,0--4,Male,343.19
Belgium,56,1980,0--4,Male,313.11
Belgium,56,1985,0--4,Male,305.94
Belgium,56,1990,0--4,Male,297.46
Belgium,56,1995,0--4,Male,296.41
Belgium,56,2000,0--4,Male,283.92
Belgium,56,2005,0--4,Male,297.64
Belgium,56,2010,0--4,Male,315.38
Belgium,56,2015,0--4,Male,313.5
Bhutan,64,1970,0--4,Male,27.09
Bhutan,64,1975,0--4,Male,32.33
Bhutan,64,1980,0--4,Male,38.4
Bhutan,64,1985,0--4,Male,42.37
Bhutan,64,1990,0--4,Male,46.6
Bhutan,64,1995,0--4,Male,41.31
Bhutan,64,2000,0--4,Male,36.91
Bhutan,64,2005,0--4,Male,36.86
Bhutan,64,2010,0--4,Male,35.97
Bhutan,64,2015,0--4,Male,37.85
Bolivia (Plurinational State of) ,68,1970,0--4,Male,363.61
Bolivia (Plurinational State of) ,68,1975,0--4,Male,412.74
Bolivia (Plurinational State of) ,68,1980,0--4,Male,437.54
Bolivia (Plurinational State of) ,68,1985,0--4,Male,476.69
Bolivia (Plurinational State of) ,68,1990,0--4,Male,527.78
Bolivia (Plurinational State of) ,68,1995,0--4,Male,589.6
Bolivia (Plurinational State of) ,68,2000,0--4,Male,607.73
Bolivia (Plurinational State of) ,68,2005,0--4,Male,632.37
Bolivia (Plurinational State of) ,68,2010,0--4,Male,629.83
Bolivia (Plurinational State of) ,68,2015,0--4,Male,615.77
Bosnia and Herzegovina,70,1970,0--4,Male,197.83
Bosnia and Herzegovina,70,1975,0--4,Male,190.3
Bosnia and Herzegovina,70,1980,0--4,Male,172.11
Bosnia and Herzegovina,70,1985,0--4,Male,182.8
Bosnia and Herzegovina,70,1990,0--4,Male,173.17
Bosnia and Herzegovina,70,1995,0--4,Male,106.25
Bosnia and Herzegovina,70,2000,0--4,Male,112.25
Bosnia and Herzegovina,70,2005,0--4,Male,93.79
Bosnia and Herzegovina,70,2010,0--4,Male,85.22
Bosnia and Herzegovina,70,2015,0--4,Male,91.74
Botswana,72,1970,0--4,Male,65.43
Botswana,72,1975,0--4,Male,77.46
Botswana,72,1980,0--4,Male,94.22
Botswana,72,1985,0--4,Male,108.39
Botswana,72,1990,0--4,Male,113.28
Botswana,72,1995,0--4,Male,113.64
Botswana,72,2000,0--4,Male,112.19
Botswana,72,2005,0--4,Male,108.71
Botswana,72,2010,0--4,Male,113.61
Botswana,72,2015,0--4,Male,111.87
Brazil,76,1970,0--4,Male,7463.41
Brazil,76,1975,0--4,Male,7770.21
Brazil,76,1980,0--4,Male,8578.62
Brazil,76,1985,0--4,Male,9402.11
Brazil,76,1990,0--4,Male,8994.74
Brazil,76,1995,0--4,Male,8523.47
Brazil,76,2000,0--4,Male,8883
Brazil,76,2005,0--4,Male,8813.57
Brazil,76,2010,0--4,Male,7734.66
Brazil,76,2015,0--4,Male,7550.4
Belize,84,1970,0--4,Male,10.69
Belize,84,1975,0--4,Male,11.97
Belize,84,1980,0--4,Male,12.08
Belize,84,1985,0--4,Male,14.82
Belize,84,1990,0--4,Male,15.98
Belize,84,1995,0--4,Male,17.46
Belize,84,2000,0--4,Male,17.76
Belize,84,2005,0--4,Male,17.96
Belize,84,2010,0--4,Male,18.19
Belize,84,2015,0--4,Male,19.2
Solomon Islands,90,1970,0--4,Male,14.15
Solomon Islands,90,1975,0--4,Male,20.04
Solomon Islands,90,1980,0--4,Male,22.9
Solomon Islands,90,1985,0--4,Male,24.99
Solomon Islands,90,1990,0--4,Male,27.29
Solomon Islands,90,1995,0--4,Male,30.39
Solomon Islands,90,2000,0--4,Male,33.26
Solomon Islands,90,2005,0--4,Male,37.41
Solomon Islands,90,2010,0--4,Male,41.6
Solomon Islands,90,2015,0--4,Male,40.74
Brunei Darussalam,96,1970,0--4,Male,9.82
Brunei Darussalam,96,1975,0--4,Male,13.02
Brunei Darussalam,96,1980,0--4,Male,14.87
Brunei Darussalam,96,1985,0--4,Male,15.52
Brunei Darussalam,96,1990,0--4,Male,17.38
Brunei Darussalam,96,1995,0--4,Male,19.04
Brunei Darussalam,96,2000,0--4,Male,17.84
Brunei Darussalam,96,2005,0--4,Male,18.94
Brunei Darussalam,96,2010,0--4,Male,19.23
Brunei Darussalam,96,2015,0--4,Male,18.65
Bulgaria,100,1970,0--4,Male,331.55
Bulgaria,100,1975,0--4,Male,345.01
Bulgaria,100,1980,0--4,Male,347.43
Bulgaria,100,1985,0--4,Male,301.87
Bulgaria,100,1990,0--4,Male,284.95
Bulgaria,100,1995,0--4,Male,214.89
Bulgaria,100,2000,0--4,Male,172
Bulgaria,100,2005,0--4,Male,171.7
Bulgaria,100,2010,0--4,Male,191.92
Bulgaria,100,2015,0--4,Male,170.09
Myanmar,104,1970,0--4,Male,2103.33
Myanmar,104,1975,0--4,Male,2382.9
Myanmar,104,1980,0--4,Male,2383.97
Myanmar,104,1985,0--4,Male,2437.19
Myanmar,104,1990,0--4,Male,2483.12
Myanmar,104,1995,0--4,Male,2338.8
Myanmar,104,2000,0--4,Male,2265.08
Myanmar,104,2005,0--4,Male,2063.94
Myanmar,104,2010,0--4,Male,1999.21
Myanmar,104,2015,0--4,Male,1880.62
Burundi,108,1970,0--4,Male,306.3
Burundi,108,1975,0--4,Male,323.4
Burundi,108,1980,0--4,Male,366.1
Burundi,108,1985,0--4,Male,436.91
Burundi,108,1990,0--4,Male,518.39
Burundi,108,1995,0--4,Male,546.73
Burundi,108,2000,0--4,Male,528.39
Burundi,108,2005,0--4,Male,536.11
Burundi,108,2010,0--4,Male,594.89
Burundi,108,2015,0--4,Male,683.76
Belarus,112,1970,0--4,Male,381.9
Belarus,112,1975,0--4,Male,380.63
Belarus,112,1980,0--4,Male,380.47
Belarus,112,1985,0--4,Male,414.31
Belarus,112,1990,0--4,Male,413.38
Belarus,112,1995,0--4,Male,314.43
Belarus,112,2000,0--4,Male,243.09
Belarus,112,2005,0--4,Male,234.68
Belarus,112,2010,0--4,Male,264.86
Belarus,112,2015,0--4,Male,277.28
Cambodia,116,1970,0--4,Male,603.7
Cambodia,116,1975,0--4,Male,553.41
Cambodia,116,1980,0--4,Male,363.42
Cambodia,116,1985,0--4,Male,887.64
Cambodia,116,1990,0--4,Male,915.81
Cambodia,116,1995,0--4,Male,953.49
Cambodia,116,2000,0--4,Male,826.17
Cambodia,116,2005,0--4,Male,757.76
Cambodia,116,2010,0--4,Male,761.25
Cambodia,116,2015,0--4,Male,787.13
Cameroon,120,1970,0--4,Male,600.23
Cameroon,120,1975,0--4,Male,706.75
Cameroon,120,1980,0--4,Male,834.33
Cameroon,120,1985,0--4,Male,970.94
Cameroon,120,1990,0--4,Male,1088.9
Cameroon,120,1995,0--4,Male,1194.22
Cameroon,120,2000,0--4,Male,1250.46
Cameroon,120,2005,0--4,Male,1400.67
Cameroon,120,2010,0--4,Male,1539.65
Cameroon,120,2015,0--4,Male,1562.11
Canada,124,1970,0--4,Male,946.29
Canada,124,1975,0--4,Male,907.72
Canada,124,1980,0--4,Male,919.32
Canada,124,1985,0--4,Male,947.89
Canada,124,1990,0--4,Male,988.68
Canada,124,1995,0--4,Male,1017.47
Canada,124,2000,0--4,Male,901.91
Canada,124,2005,0--4,Male,874.73
Canada,124,2010,0--4,Male,966.61
Canada,124,2015,0--4,Male,971.49
Cape Verde,132,1970,0--4,Male,23.77
Cape Verde,132,1975,0--4,Male,27.06
Cape Verde,132,1980,0--4,Male,26.33
Cape Verde,132,1985,0--4,Male,29.46
Cape Verde,132,1990,0--4,Male,31.14
Cape Verde,132,1995,0--4,Male,31.73
Cape Verde,132,2000,0--4,Male,30.77
Cape Verde,132,2005,0--4,Male,28.2
Cape Verde,132,2010,0--4,Male,25.46
Cape Verde,132,2015,0--4,Male,25.3
Central African Republic,140,1970,0--4,Male,150.71
Central African Republic,140,1975,0--4,Male,168.94
Central African Republic,140,1980,0--4,Male,192.89
Central African Republic,140,1985,0--4,Male,224.76
Central African Republic,140,1990,0--4,Male,250.79
Central African Republic,140,1995,0--4,Male,270.35
Central African Republic,140,2000,0--4,Male,298.71
Central African Republic,140,2005,0--4,Male,315.71
Central African Republic,140,2010,0--4,Male,325.57
Central African Republic,140,2015,0--4,Male,337.53
Sri Lanka,144,1970,0--4,Male,906.39
Sri Lanka,144,1975,0--4,Male,907.8
Sri Lanka,144,1980,0--4,Male,970.99
Sri Lanka,144,1985,0--4,Male,980.79
Sri Lanka,144,1990,0--4,Male,896.83
Sri Lanka,144,1995,0--4,Male,864.66
Sri Lanka,144,2000,0--4,Male,805.56
Sri Lanka,144,2005,0--4,Male,897.86
Sri Lanka,144,2010,0--4,Male,963.9
Sri Lanka,144,2015,0--4,Male,894.61
Chad,148,1970,0--4,Male,309.59
Chad,148,1975,0--4,Male,364.61
Chad,148,1980,0--4,Male,417.49
Chad,148,1985,0--4,Male,478.89
Chad,148,1990,0--4,Male,559
Chad,148,1995,0--4,Male,648.95
Chad,148,2000,0--4,Male,763.03
Chad,148,2005,0--4,Male,905.79
Chad,148,2010,0--4,Male,1007.91
Chad,148,2015,0--4,Male,1109.56
Chile,152,1970,0--4,Male,653.12
Chile,152,1975,0--4,Male,639.56
Chile,152,1980,0--4,Male,597.58
Chile,152,1985,0--4,Male,673.31
Chile,152,1990,0--4,Male,743.86
Chile,152,1995,0--4,Male,757.5
Chile,152,2000,0--4,Male,676.44
Chile,152,2005,0--4,Male,630.11
Chile,152,2010,0--4,Male,621.1
Chile,152,2015,0--4,Male,606.11
China,156,1970,0--4,Male,68769.91
China,156,1975,0--4,Male,65378.2
China,156,1980,0--4,Male,49916.28
China,156,1985,0--4,Male,53984.89
China,156,1990,0--4,Male,64371.99
China,156,1995,0--4,Male,57260.14
China,156,2000,0--4,Male,52230.86
China,156,2005,0--4,Male,46470.96
China,156,2010,0--4,Male,44689.32
China,156,2015,0--4,Male,39271.97
Colombia,170,1970,0--4,Male,1870.78
Colombia,170,1975,0--4,Male,1822.67
Colombia,170,1980,0--4,Male,1986.69
Colombia,170,1985,0--4,Male,2086.37
Colombia,170,1990,0--4,Male,2173.2
Colombia,170,1995,0--4,Male,2265.09
Colombia,170,2000,0--4,Male,2264.6
Colombia,170,2005,0--4,Male,2266.64
Colombia,170,2010,0--4,Male,2296.53
Colombia,170,2015,0--4,Male,2230.46
Comoros,174,1970,0--4,Male,21.9
Comoros,174,1975,0--4,Male,25.21
Comoros,174,1980,0--4,Male,31.77
Comoros,174,1985,0--4,Male,38.31
Comoros,174,1990,0--4,Male,36.48
Comoros,174,1995,0--4,Male,38.67
Comoros,174,2000,0--4,Male,46.56
Comoros,174,2005,0--4,Male,55.66
Comoros,174,2010,0--4,Male,62.35
Comoros,174,2015,0--4,Male,62.02
Mayotte,175,1970,0--4,Male,3.62
Mayotte,175,1975,0--4,Male,4.72
Mayotte,175,1980,0--4,Male,5.34
Mayotte,175,1985,0--4,Male,6.73
Mayotte,175,1990,0--4,Male,8.57
Mayotte,175,1995,0--4,Male,10.98
Mayotte,175,2000,0--4,Male,12.72
Mayotte,175,2005,0--4,Male,12.44
Mayotte,175,2010,0--4,Male,21.85
Mayotte,175,2015,0--4,Male,16.22
Congo,178,1970,0--4,Male,119.06
Congo,178,1975,0--4,Male,140.26
Congo,178,1980,0--4,Male,162.38
Congo,178,1985,0--4,Male,181.42
Congo,178,1990,0--4,Male,199.8
Congo,178,1995,0--4,Male,222.31
Congo,178,2000,0--4,Male,253.92
Congo,178,2005,0--4,Male,283.87
Congo,178,2010,0--4,Male,314.43
Congo,178,2015,0--4,Male,321.08
Democratic Republic of the Congo,180,1970,0--4,Male,1852.74
Democratic Republic of the Congo,180,1975,0--4,Male,2162.84
Democratic Republic of the Congo,180,1980,0--4,Male,2546.45
Democratic Republic of the Congo,180,1985,0--4,Male,3001.54
Democratic Republic of the Congo,180,1990,0--4,Male,3609.95
Democratic Republic of the Congo,180,1995,0--4,Male,4412.02
Democratic Republic of the Congo,180,2000,0--4,Male,4859.4
Democratic Republic of the Congo,180,2005,0--4,Male,5497.82
Democratic Republic of the Congo,180,2010,0--4,Male,5947.79
Democratic Republic of the Congo,180,2015,0--4,Male,6540.85
Costa Rica,188,1970,0--4,Male,145.07
Costa Rica,188,1975,0--4,Male,141.4
Costa Rica,188,1980,0--4,Male,162.43
Costa Rica,188,1985,0--4,Male,188.15
Costa Rica,188,1990,0--4,Male,209.67
Costa Rica,188,1995,0--4,Male,204.77
Costa Rica,188,2000,0--4,Male,201.13
Costa Rica,188,2005,0--4,Male,196.79
Costa Rica,188,2010,0--4,Male,185.81
Costa Rica,188,2015,0--4,Male,187.17
Croatia,191,1970,0--4,Male,150.32
Croatia,191,1975,0--4,Male,158.3
Croatia,191,1980,0--4,Male,162.14
Croatia,191,1985,0--4,Male,163.8
Croatia,191,1990,0--4,Male,148.6
Croatia,191,1995,0--4,Male,135.47
Croatia,191,2000,0--4,Male,120.35
Croatia,191,2005,0--4,Male,106.94
Croatia,191,2010,0--4,Male,107.94
Croatia,191,2015,0--4,Male,102.92
Cuba,192,1970,0--4,Male,624.36
Cuba,192,1975,0--4,Male,579.67
Cuba,192,1980,0--4,Male,410.82
Cuba,192,1985,0--4,Male,401.54
Cuba,192,1990,0--4,Male,460.12
Cuba,192,1995,0--4,Male,415.72
Cuba,192,2000,0--4,Male,373.76
Cuba,192,2005,0--4,Male,349.89
Cuba,192,2010,0--4,Male,292.83
Cuba,192,2015,0--4,Male,267.35
Cyprus,196,1970,0--4,Male,30.5
Cyprus,196,1975,0--4,Male,30.69
Cyprus,196,1980,0--4,Male,30.86
Cyprus,196,1985,0--4,Male,33.41
Cyprus,196,1990,0--4,Male,36.34
Cyprus,196,1995,0--4,Male,36.92
Cyprus,196,2000,0--4,Male,34.98
Cyprus,196,2005,0--4,Male,32.02
Cyprus,196,2010,0--4,Male,32.95
Cyprus,196,2015,0--4,Male,31.3
Czech Republic,203,1970,0--4,Male,353.7
Czech Republic,203,1975,0--4,Male,422.61
Czech Republic,203,1980,0--4,Male,457.43
Czech Republic,203,1985,0--4,Male,360.65
Czech Republic,203,1990,0--4,Male,332.72
Czech Republic,203,1995,0--4,Male,309.17
Czech Republic,203,2000,0--4,Male,232.78
Czech Republic,203,2005,0--4,Male,239.69
Czech Republic,203,2010,0--4,Male,280.77
Czech Republic,203,2015,0--4,Male,288.39
Benin,204,1970,0--4,Male,251.61
Benin,204,1975,0--4,Male,288.31
Benin,204,1980,0--4,Male,335.36
Benin,204,1985,0--4,Male,387.65
Benin,204,1990,0--4,Male,447.18
Benin,204,1995,0--4,Male,520.52
Benin,204,2000,0--4,Male,591.34
Benin,204,2005,0--4,Male,669.4
Benin,204,2010,0--4,Male,761.5
Benin,204,2015,0--4,Male,808.22
Denmark,208,1970,0--4,Male,198.95
Denmark,208,1975,0--4,Male,184.95
Denmark,208,1980,0--4,Male,160.63
Denmark,208,1985,0--4,Male,135.11
Denmark,208,1990,0--4,Male,149.88
Denmark,208,1995,0--4,Male,173.87
Denmark,208,2000,0--4,Male,173.99
Denmark,208,2005,0--4,Male,167.08
Denmark,208,2010,0--4,Male,167.18
Denmark,208,2015,0--4,Male,150.64
Dominican Republic,214,1970,0--4,Male,409.65
Dominican Republic,214,1975,0--4,Male,426.5
Dominican Republic,214,1980,0--4,Male,444.62
Dominican Republic,214,1985,0--4,Male,479.66
Dominican Republic,214,1990,0--4,Male,503.63
Dominican Republic,214,1995,0--4,Male,522.84
Dominican Republic,214,2000,0--4,Male,516.72
Dominican Republic,214,2005,0--4,Male,531.32
Dominican Republic,214,2010,0--4,Male,537.66
Dominican Republic,214,2015,0--4,Male,517.93
Ecuador,218,1970,0--4,Male,528.06
Ecuador,218,1975,0--4,Male,589.62
Ecuador,218,1980,0--4,Male,650.88
Ecuador,218,1985,0--4,Male,692.79
Ecuador,218,1990,0--4,Male,712.31
Ecuador,218,1995,0--4,Male,720.06
Ecuador,218,2000,0--4,Male,746.86
Ecuador,218,2005,0--4,Male,753.24
Ecuador,218,2010,0--4,Male,750.53
Ecuador,218,2015,0--4,Male,734.31
El Salvador,222,1970,0--4,Male,341.98
El Salvador,222,1975,0--4,Male,371.59
El Salvador,222,1980,0--4,Male,396.2
El Salvador,222,1985,0--4,Male,399.79
El Salvador,222,1990,0--4,Male,401.87
El Salvador,222,1995,0--4,Male,411.17
El Salvador,222,2000,0--4,Male,393.81
El Salvador,222,2005,0--4,Male,326.21
El Salvador,222,2010,0--4,Male,315.21
El Salvador,222,2015,0--4,Male,308.33
Equatorial Guinea,226,1970,0--4,Male,22.45
Equatorial Guinea,226,1975,0--4,Male,18.4
Equatorial Guinea,226,1980,0--4,Male,14.87
Equatorial Guinea,226,1985,0--4,Male,23.83
Equatorial Guinea,226,1990,0--4,Male,34.45
Equatorial Guinea,226,1995,0--4,Male,39.47
Equatorial Guinea,226,2000,0--4,Male,43.06
Equatorial Guinea,226,2005,0--4,Male,47.34
Equatorial Guinea,226,2010,0--4,Male,53.94
Equatorial Guinea,226,2015,0--4,Male,57.51
Ethiopia,231,1970,0--4,Male,2637.88
Ethiopia,231,1975,0--4,Male,2985.76
Ethiopia,231,1980,0--4,Male,3189.67
Ethiopia,231,1985,0--4,Male,3745.84
Ethiopia,231,1990,0--4,Male,4567.3
Ethiopia,231,1995,0--4,Male,5427.72
Ethiopia,231,2000,0--4,Male,5925.72
Ethiopia,231,2005,0--4,Male,6096.09
Ethiopia,231,2010,0--4,Male,6016.07
Ethiopia,231,2015,0--4,Male,6545.43
Eritrea,232,1970,0--4,Male,170.5
Eritrea,232,1975,0--4,Male,196.2
Eritrea,232,1980,0--4,Male,253.7
Eritrea,232,1985,0--4,Male,241.58
Eritrea,232,1990,0--4,Male,270.86
Eritrea,232,1995,0--4,Male,283.16
Eritrea,232,2000,0--4,Male,303.61
Eritrea,232,2005,0--4,Male,372.57
Eritrea,232,2010,0--4,Male,436.15
Eritrea,232,2015,0--4,Male,452.73
Estonia,233,1970,0--4,Male,49.48
Estonia,233,1975,0--4,Male,56.74
Estonia,233,1980,0--4,Male,56.42
Estonia,233,1985,0--4,Male,58.34
Estonia,233,1990,0--4,Male,61.16
Estonia,233,1995,0--4,Male,40.83
Estonia,233,2000,0--4,Male,32.15
Estonia,233,2005,0--4,Male,33.66
Estonia,233,2010,0--4,Male,40.21
Estonia,233,2015,0--4,Male,36.8
Fiji,242,1970,0--4,Male,40.17
Fiji,242,1975,0--4,Male,41.55
Fiji,242,1980,0--4,Male,47.29
Fiji,242,1985,0--4,Male,53.78
Fiji,242,1990,0--4,Male,51.24
Fiji,242,1995,0--4,Male,51.31
Fiji,242,2000,0--4,Male,50.71
Fiji,242,2005,0--4,Male,46.16
Fiji,242,2010,0--4,Male,46.18
Fiji,242,2015,0--4,Male,43.16
Finland,246,1970,0--4,Male,178
Finland,246,1975,0--4,Male,154.64
Finland,246,1980,0--4,Male,163.78
Finland,246,1985,0--4,Male,166.23
Finland,246,1990,0--4,Male,158.89
Finland,246,1995,0--4,Male,166.24
Finland,246,2000,0--4,Male,150.79
Finland,246,2005,0--4,Male,145.85
Finland,246,2010,0--4,Male,153.01
Finland,246,2015,0--4,Male,154.3
France,250,1970,0--4,Male,2131.25
France,250,1975,0--4,Male,2103.24
France,250,1980,0--4,Male,1860.06
France,250,1985,0--4,Male,1948.12
France,250,1990,0--4,Male,1933.1
France,250,1995,0--4,Male,1838.01
France,250,2000,0--4,Male,1865.78
France,250,2005,0--4,Male,1960.77
France,250,2010,0--4,Male,2036.27
France,250,2015,0--4,Male,2033.71
French Guiana,254,1970,0--4,Male,3.53
French Guiana,254,1975,0--4,Male,3.87
French Guiana,254,1980,0--4,Male,3.9
French Guiana,254,1985,0--4,Male,4.82
French Guiana,254,1990,0--4,Male,7.89
French Guiana,254,1995,0--4,Male,10.11
French Guiana,254,2000,0--4,Male,11.26
French Guiana,254,2005,0--4,Male,13.36
French Guiana,254,2010,0--4,Male,13.71
French Guiana,254,2015,0--4,Male,13.56
French Polynesia,258,1970,0--4,Male,10.1
French Polynesia,258,1975,0--4,Male,9.35
French Polynesia,258,1980,0--4,Male,10.53
French Polynesia,258,1985,0--4,Male,12.07
French Polynesia,258,1990,0--4,Male,12.68
French Polynesia,258,1995,0--4,Male,11.33
French Polynesia,258,2000,0--4,Male,13.58
French Polynesia,258,2005,0--4,Male,10.98
French Polynesia,258,2010,0--4,Male,11.07
French Polynesia,258,2015,0--4,Male,11.85
Djibouti,262,1970,0--4,Male,15.16
Djibouti,262,1975,0--4,Male,20.49
Djibouti,262,1980,0--4,Male,30.31
Djibouti,262,1985,0--4,Male,35.73
Djibouti,262,1990,0--4,Male,49.36
Djibouti,262,1995,0--4,Male,51.91
Djibouti,262,2000,0--4,Male,53.37
Djibouti,262,2005,0--4,Male,54.41
Djibouti,262,2010,0--4,Male,57.23
Djibouti,262,2015,0--4,Male,57.97
Gabon,266,1970,0--4,Male,34.8
Gabon,266,1975,0--4,Male,43.37
Gabon,266,1980,0--4,Male,53.85
Gabon,266,1985,0--4,Male,65.12
Gabon,266,1990,0--4,Male,77.05
Gabon,266,1995,0--4,Male,90.34
Gabon,266,2000,0--4,Male,90.93
Gabon,266,2005,0--4,Male,91.11
Gabon,266,2010,0--4,Male,93.57
Gabon,266,2015,0--4,Male,91.97
Georgia,268,1970,0--4,Male,221.64
Georgia,268,1975,0--4,Male,225.51
Georgia,268,1980,0--4,Male,219.64
Georgia,268,1985,0--4,Male,233.55
Georgia,268,1990,0--4,Male,234.78
Georgia,268,1995,0--4,Male,199.82
Georgia,268,2000,0--4,Male,143.54
Georgia,268,2005,0--4,Male,125.67
Georgia,268,2010,0--4,Male,134.81
Georgia,268,2015,0--4,Male,135.36
Gambia,270,1970,0--4,Male,42.79
Gambia,270,1975,0--4,Male,50.53
Gambia,270,1980,0--4,Male,61.74
Gambia,270,1985,0--4,Male,76.31
Gambia,270,1990,0--4,Male,92.85
Gambia,270,1995,0--4,Male,105.86
Gambia,270,2000,0--4,Male,119.38
Gambia,270,2005,0--4,Male,133.75
Gambia,270,2010,0--4,Male,144.91
