Area,ISOCode,Year,Age,Sex,Population
Sri Lanka,144,1975,0--4,Male,907.8
Sri Lanka,144,1980,0--4,Male,970.99
Sri Lanka,144,1985,0--4,Male,980.79
Sri Lanka,144,1990,0--4,Male,896.83
Sri Lanka,144,1995,0--4,Male,864.66
Sri Lanka,144,2000,0--4,Male,805.56
Sri Lanka,144,2005,0--4,Male,897.86
Sri Lanka,144,2010,0--4,Male,963.9
Sri Lanka,144,2015,0--4,Male,894.61
China,156,1970,0--4,Male,68769.91
China,156,1975,0--4,Male,65378.2
China,156,1980,0--4,Male,49916.28
China,156,1985,0--4,Male,53984.89
China,156,1990,0--4,Male,64371.99
China,156,1995,0--4,Male,57260.14
China,156,2000,0--4,Male,52230.86
China,156,2005,0--4,Male,46470.96
China,156,2010,0--4,Male,44689.32
China,156,2015,0--4,Male,39271.97
Cyprus,196,1970,0--4,Male,30.5
Cyprus,196,1975,0--4,Male,30.69
Cyprus,196,1980,0--4,Male,30.86
Cyprus,196,1985,0--4,Male,33.41
Cyprus,196,1990,0--4,Male,36.34
Cyprus,196,1995,0--4,Male,36.92
Cyprus,196,2000,0--4,Male,34.98
Cyprus,196,2005,0--4,Male,32.02
Cyprus,196,2010,0--4,Male,32.95
Cyprus,196,2015,0--4,Male,31.3
Georgia,268,1970,0--4,Male,221.64
Georgia,268,1975,0--4,Male,225.51
Georgia,268,1980,0--4,Male,219.64
Georgia,268,1985,0--4,Male,233.55
Georgia,268,1990,0--4,Male,234.78
Georgia,268,1995,0--4,Male,199.82
Georgia,268,2000,0--4,Male,143.54
Georgia,268,2005,0--4,Male,125.67
Georgia,268,2010,0--4,Male,134.81
Georgia,268,2015,0--4,Male,135.36
State of Palestine,275,1970,0--4,Male,118.41
State of Palestine,275,1975,0--4,Male,135.14
State of Palestine,275,1980,0--4,Male,153.01
State of Palestine,275,1985,0--4,Male,173.13
State of Palestine,275,1990,0--4,Male,199.95
State of Palestine,275,1995,0--4,Male,265.91
State of Palestine,275,2000,0--4,Male,296.98
State of Palestine,275,2005,0--4,Male,295.75
State of Palestine,275,2010,0--4,Male,317.1
State of Palestine,275,2015,0--4,Male,331.22
Hong Kong SAR,344,1970,0--4,Male,221.3
Hong Kong SAR,344,1975,0--4,Male,207.8
Hong Kong SAR,344,1980,0--4,Male,211.2
Hong Kong SAR,344,1985,0--4,Male,218.8
Hong Kong SAR,344,1990,0--4,Male,197.3
Hong Kong SAR,344,1995,0--4,Male,196.5
Hong Kong SAR,344,2000,0--4,Male,163.1
Hong Kong SAR,344,2005,0--4,Male,114.4
Hong Kong SAR,344,2010,0--4,Male,118.94
Hong Kong SAR,344,2015,0--4,Male,180.67
India,356,1970,0--4,Male,44987.77
India,356,1975,0--4,Male,48900.82
India,356,1980,0--4,Male,54274.79
India,356,1985,0--4,Male,58890.63
India,356,1990,0--4,Male,62951.67
India,356,1995,0--4,Male,65407.25
India,356,2000,0--4,Male,65767.58
India,356,2005,0--4,Male,65742.54
India,356,2010,0--4,Male,66645.58
India,356,2015,0--4,Male,66103.05
Indonesia,360,1970,0--4,Male,10040.38
Indonesia,360,1975,0--4,Male,10817.01
Indonesia,360,1980,0--4,Male,11408.06
Indonesia,360,1985,0--4,Male,11819.85
Indonesia,360,1990,0--4,Male,11505.02
Indonesia,360,1995,0--4,Male,11290.81
Indonesia,360,2000,0--4,Male,10966.49
Indonesia,360,2005,0--4,Male,11354.91
Indonesia,360,2010,0--4,Male,11007.13
Indonesia,360,2015,0--4,Male,10528.38
Iran (Islamic Republic of),364,1970,0--4,Male,2507.3
Iran (Islamic Republic of),364,1975,0--4,Male,2785.82
Iran (Islamic Republic of),364,1980,0--4,Male,3458.58
Iran (Islamic Republic of),364,1985,0--4,Male,4524.41
Iran (Islamic Republic of),364,1990,0--4,Male,4703.98
Iran (Islamic Republic of),364,1995,0--4,Male,3877.06
Iran (Islamic Republic of),364,2000,0--4,Male,3239.17
Iran (Islamic Republic of),364,2005,0--4,Male,2779.39
Iran (Islamic Republic of),364,2010,0--4,Male,3141.86
Iran (Islamic Republic of),364,2015,0--4,Male,3604.82
Iraq,368,1970,0--4,Male,980.41
Iraq,368,1975,0--4,Male,1112.46
Iraq,368,1980,0--4,Male,1258.56
Iraq,368,1985,0--4,Male,1386.22
Iraq,368,1990,0--4,Male,1554.87
Iraq,368,1995,0--4,Male,1758.6
Iraq,368,2000,0--4,Male,2061.48
Iraq,368,2005,0--4,Male,2364.54
Iraq,368,2010,0--4,Male,2669.32
Iraq,368,2015,0--4,Male,2726.42
Israel,376,1970,0--4,Male,172.05
Israel,376,1975,0--4,Male,216.28
Israel,376,1980,0--4,Male,234.84
Israel,376,1985,0--4,Male,234.89
Israel,376,1990,0--4,Male,247.38
Israel,376,1995,0--4,Male,271.2
Israel,376,2000,0--4,Male,315.54
Israel,376,2005,0--4,Male,341.81
Israel,376,2010,0--4,Male,376.99
Israel,376,2015,0--4,Male,432.35
Japan,392,1970,0--4,Male,4563.09
Japan,392,1975,0--4,Male,5083.21
Japan,392,1980,0--4,Male,4319.45
Japan,392,1985,0--4,Male,3791.42
Japan,392,1990,0--4,Male,3293.89
Japan,392,1995,0--4,Male,3057.64
Japan,392,2000,0--4,Male,2999.16
Japan,392,2005,0--4,Male,2881.65
Japan,392,2010,0--4,Male,2788.63
Japan,392,2015,0--4,Male,2646.75
Kazakhstan,398,1970,0--4,Male,791.04
Kazakhstan,398,1975,0--4,Male,832.01
Kazakhstan,398,1980,0--4,Male,866.41
Kazakhstan,398,1985,0--4,Male,925.11
Kazakhstan,398,1990,0--4,Male,954.79
Kazakhstan,398,1995,0--4,Male,749.84
Kazakhstan,398,2000,0--4,Male,575.22
Kazakhstan,398,2005,0--4,Male,615.06
Kazakhstan,398,2010,0--4,Male,842.5
Kazakhstan,398,2015,0--4,Male,801.6
Jordan,400,1970,0--4,Male,167.97
Jordan,400,1975,0--4,Male,205.3
Jordan,400,1980,0--4,Male,219.06
Jordan,400,1985,0--4,Male,252.05
Jordan,400,1990,0--4,Male,306.99
Jordan,400,1995,0--4,Male,329.05
Jordan,400,2000,0--4,Male,355.74
Jordan,400,2005,0--4,Male,349.64
Jordan,400,2010,0--4,Male,418.02
Jordan,400,2015,0--4,Male,398.12
Dem. People's Republic of Korea,408,1970,0--4,Male,1173.32
Dem. People's Republic of Korea,408,1975,0--4,Male,1112.79
Dem. People's Republic of Korea,408,1980,0--4,Male,778.59
Dem. People's Republic of Korea,408,1985,0--4,Male,960.12
Dem. People's Republic of Korea,408,1990,0--4,Male,966.6
Dem. People's Republic of Korea,408,1995,0--4,Male,1095.91
Dem. People's Republic of Korea,408,2000,0--4,Male,1067.04
Dem. People's Republic of Korea,408,2005,0--4,Male,937.49
Dem. People's Republic of Korea,408,2010,0--4,Male,871.15
Dem. People's Republic of Korea,408,2015,0--4,Male,848.1
Republic of Korea,410,1970,0--4,Male,2231.01
Republic of Korea,410,1975,0--4,Male,2210.72
Republic of Korea,410,1980,0--4,Male,1985.33
Republic of Korea,410,1985,0--4,Male,1951.39
Republic of Korea,410,1990,0--4,Male,1716.79
Republic of Korea,410,1995,0--4,Male,1801.23
Republic of Korea,410,2000,0--4,Male,1641.26
Republic of Korea,410,2005,0--4,Male,1237.31
Republic of Korea,410,2010,0--4,Male,1242.14
Republic of Korea,410,2015,0--4,Male,1170.66
Kuwait,414,1970,0--4,Male,70.93
Kuwait,414,1975,0--4,Male,104.66
Kuwait,414,1980,0--4,Male,108.65
Kuwait,414,1985,0--4,Male,125.59
Kuwait,414,1990,0--4,Male,127.27
Kuwait,414,1995,0--4,Male,86.05
Kuwait,414,2000,0--4,Male,94.8
Kuwait,414,2005,0--4,Male,99.89
Kuwait,414,2010,0--4,Male,144.82
Kuwait,414,2015,0--4,Male,122.8
Kyrgyzstan,417,1970,0--4,Male,211.01
Kyrgyzstan,417,1975,0--4,Male,237.27
Kyrgyzstan,417,1980,0--4,Male,246.89
Kyrgyzstan,417,1985,0--4,Male,286.89
Kyrgyzstan,417,1990,0--4,Male,319.17
Kyrgyzstan,417,1995,0--4,Male,304.39
Kyrgyzstan,417,2000,0--4,Male,280.2
Kyrgyzstan,417,2005,0--4,Male,249.55
Kyrgyzstan,417,2010,0--4,Male,303.73
Kyrgyzstan,417,2015,0--4,Male,303.41
Lao People's Democratic Republic,418,1970,0--4,Male,223.85
Lao People's Democratic Republic,418,1975,0--4,Male,256.89
Lao People's Democratic Republic,418,1980,0--4,Male,280.75
Lao People's Democratic Republic,418,1985,0--4,Male,315.16
Lao People's Democratic Republic,418,1990,0--4,Male,367.21
Lao People's Democratic Republic,418,1995,0--4,Male,410.82
Lao People's Democratic Republic,418,2000,0--4,Male,396.39
Lao People's Democratic Republic,418,2005,0--4,Male,365.35
Lao People's Democratic Republic,418,2010,0--4,Male,348.94
Lao People's Democratic Republic,418,2015,0--4,Male,356.11
Lebanon,422,1970,0--4,Male,190.74
Lebanon,422,1975,0--4,Male,200.64
Lebanon,422,1980,0--4,Male,198.27
Lebanon,422,1985,0--4,Male,197.17
Lebanon,422,1990,0--4,Male,183.73
Lebanon,422,1995,0--4,Male,196.8
Lebanon,422,2000,0--4,Male,201.4
Lebanon,422,2005,0--4,Male,171.24
Lebanon,422,2010,0--4,Male,164.16
Lebanon,422,2015,0--4,Male,158.64
Macao SAR,446,1970,0--4,Male,12.87
Macao SAR,446,1975,0--4,Male,11.79
Macao SAR,446,1980,0--4,Male,10.58
Macao SAR,446,1985,0--4,Male,16.86
Macao SAR,446,1990,0--4,Male,19.64
Macao SAR,446,1995,0--4,Male,16.93
Macao SAR,446,2000,0--4,Male,12.75
Macao SAR,446,2005,0--4,Male,9.77
Macao SAR,446,2010,0--4,Male,12.26
Macao SAR,446,2015,0--4,Male,14.32
Malaysia,458,1970,0--4,Male,877.14
Malaysia,458,1975,0--4,Male,926.74
Malaysia,458,1980,0--4,Male,957.55
Malaysia,458,1985,0--4,Male,1165.91
Malaysia,458,1990,0--4,Male,1258.02
Malaysia,458,1995,0--4,Male,1361.92
Malaysia,458,2000,0--4,Male,1397.41
Malaysia,458,2005,0--4,Male,1520.13
Malaysia,458,2010,0--4,Male,1453.75
Malaysia,458,2015,0--4,Male,1462.51
Maldives,462,1970,0--4,Male,11.34
Maldives,462,1975,0--4,Male,12.4
Maldives,462,1980,0--4,Male,14.01
Maldives,462,1985,0--4,Male,18.49
Maldives,462,1990,0--4,Male,21.36
Maldives,462,1995,0--4,Male,20
Maldives,462,2000,0--4,Male,16.06
Maldives,462,2005,0--4,Male,13.93
Maldives,462,2010,0--4,Male,13.37
Maldives,462,2015,0--4,Male,14.59
Mongolia,496,1970,0--4,Male,114.41
Mongolia,496,1975,0--4,Male,129.75
Mongolia,496,1980,0--4,Male,137.53
Mongolia,496,1985,0--4,Male,151.32
Mongolia,496,1990,0--4,Male,168.59
Mongolia,496,1995,0--4,Male,143.61
Mongolia,496,2000,0--4,Male,123.5
Mongolia,496,2005,0--4,Male,113.66
Mongolia,496,2010,0--4,Male,150.1
Mongolia,496,2015,0--4,Male,153.53
Oman,512,1970,0--4,Male,70.54
Oman,512,1975,0--4,Male,87.93
Oman,512,1980,0--4,Male,121.41
Oman,512,1985,0--4,Male,156.76
Oman,512,1990,0--4,Male,171.53
Oman,512,1995,0--4,Male,159.82
Oman,512,2000,0--4,Male,136.21
Oman,512,2005,0--4,Male,124.31
Oman,512,2010,0--4,Male,143.37
Oman,512,2015,0--4,Male,129.96
Nepal,524,1970,0--4,Male,1007.32
Nepal,524,1975,0--4,Male,1138.88
Nepal,524,1980,0--4,Male,1277.76
Nepal,524,1985,0--4,Male,1430.36
Nepal,524,1990,0--4,Male,1591.77
Nepal,524,1995,0--4,Male,1764.34
Nepal,524,2000,0--4,Male,1894.72
Nepal,524,2005,0--4,Male,1919.33
Nepal,524,2010,0--4,Male,1797.24
Nepal,524,2015,0--4,Male,1891.42
Pakistan,586,1970,0--4,Male,5189.79
Pakistan,586,1975,0--4,Male,6019.79
Pakistan,586,1980,0--4,Male,7149.81
Pakistan,586,1985,0--4,Male,8460.64
Pakistan,586,1990,0--4,Male,9915.27
Pakistan,586,1995,0--4,Male,10442.51
Pakistan,586,2000,0--4,Male,10814.75
Pakistan,586,2005,0--4,Male,10205.83
Pakistan,586,2010,0--4,Male,10934.1
Pakistan,586,2015,0--4,Male,11709.19
Philippines,608,1970,0--4,Male,3146.23
Philippines,608,1975,0--4,Male,3482.39
Philippines,608,1980,0--4,Male,3950.35
Philippines,608,1985,0--4,Male,4368.37
Philippines,608,1990,0--4,Male,4806.18
Philippines,608,1995,0--4,Male,5113.98
Philippines,608,2000,0--4,Male,5467.7
Philippines,608,2005,0--4,Male,5847.86
Philippines,608,2010,0--4,Male,5766.43
Philippines,608,2015,0--4,Male,5776.66
Timor-Leste,626,1970,0--4,Male,49.98
Timor-Leste,626,1975,0--4,Male,50.89
Timor-Leste,626,1980,0--4,Male,39.21
Timor-Leste,626,1985,0--4,Male,57.25
Timor-Leste,626,1990,0--4,Male,61.27
Timor-Leste,626,1995,0--4,Male,75.43
Timor-Leste,626,2000,0--4,Male,85.94
Timor-Leste,626,2005,0--4,Male,86.72
Timor-Leste,626,2010,0--4,Male,98.63
Timor-Leste,626,2015,0--4,Male,105.74
Qatar,634,1970,0--4,Male,8.46
Qatar,634,1975,0--4,Male,11.49
Qatar,634,1980,0--4,Male,17
Qatar,634,1985,0--4,Male,24.56
Qatar,634,1990,0--4,Male,26.7
Qatar,634,1995,0--4,Male,26.54
Qatar,634,2000,0--4,Male,26.68
Qatar,634,2005,0--4,Male,32.13
Qatar,634,2010,0--4,Male,46.14
Qatar,634,2015,0--4,Male,56.91
Saudi Arabia,682,1970,0--4,Male,532.14
Saudi Arabia,682,1975,0--4,Male,683.47
Saudi Arabia,682,1980,0--4,Male,915.82
Saudi Arabia,682,1985,0--4,Male,1170.25
Saudi Arabia,682,1990,0--4,Male,1364.27
Saudi Arabia,682,1995,0--4,Male,1329.42
Saudi Arabia,682,2000,0--4,Male,1419.4
Saudi Arabia,682,2005,0--4,Male,1353.12
Saudi Arabia,682,2010,0--4,Male,1604.08
Saudi Arabia,682,2015,0--4,Male,1519.65
Singapore,702,1970,0--4,Male,121
Singapore,702,1975,0--4,Male,115.8
Singapore,702,1980,0--4,Male,100.93
Singapore,702,1985,0--4,Male,111
Singapore,702,1990,0--4,Male,118.38
Singapore,702,1995,0--4,Male,154.54
Singapore,702,2000,0--4,Male,132.41
Singapore,702,2005,0--4,Male,110.79
Singapore,702,2010,0--4,Male,119.31
Singapore,702,2015,0--4,Male,127.57
Viet Nam,704,1970,0--4,Male,3859.73
Viet Nam,704,1975,0--4,Male,3964
Viet Nam,704,1980,0--4,Male,3995.32
Viet Nam,704,1985,0--4,Male,4529.99
Viet Nam,704,1990,0--4,Male,4754.86
Viet Nam,704,1995,0--4,Male,4700.65
Viet Nam,704,2000,0--4,Male,3575.91
Viet Nam,704,2005,0--4,Male,3462.77
Viet Nam,704,2010,0--4,Male,3674.62
Viet Nam,704,2015,0--4,Male,3647.41
Syrian Arab Republic,760,1970,0--4,Male,615.67
Syrian Arab Republic,760,1975,0--4,Male,745.47
Syrian Arab Republic,760,1980,0--4,Male,879.78
Syrian Arab Republic,760,1985,0--4,Male,1002.92
Syrian Arab Republic,760,1990,0--4,Male,1077.03
Syrian Arab Republic,760,1995,0--4,Male,1094.31
Syrian Arab Republic,760,2000,0--4,Male,1117.26
Syrian Arab Republic,760,2005,0--4,Male,1297.39
Syrian Arab Republic,760,2010,0--4,Male,1279.62
Syrian Arab Republic,760,2015,0--4,Male,1161.31
Tajikistan,762,1970,0--4,Male,254.4
Tajikistan,762,1975,0--4,Male,295.87
Tajikistan,762,1980,0--4,Male,319.16
Tajikistan,762,1985,0--4,Male,390.24
Tajikistan,762,1990,0--4,Male,473.95
Tajikistan,762,1995,0--4,Male,467.49
Tajikistan,762,2000,0--4,Male,450.08
Tajikistan,762,2005,0--4,Male,435.67
Tajikistan,762,2010,0--4,Male,445.41
Tajikistan,762,2015,0--4,Male,441.22
Thailand,764,1970,0--4,Male,3223.95
Thailand,764,1975,0--4,Male,3261.95
Thailand,764,1980,0--4,Male,3131.78
Thailand,764,1985,0--4,Male,2935.26
Thailand,764,1990,0--4,Male,2753.08
Thailand,764,1995,0--4,Male,2624.49
Thailand,764,2000,0--4,Male,2405.05
Thailand,764,2005,0--4,Male,2419.34
Thailand,764,2010,0--4,Male,2243.83
Thailand,764,2015,0--4,Male,2089.59
United Arab Emirates,784,1970,0--4,Male,18.41
United Arab Emirates,784,1975,0--4,Male,32.26
United Arab Emirates,784,1980,0--4,Male,67.72
United Arab Emirates,784,1985,0--4,Male,96.03
United Arab Emirates,784,1990,0--4,Male,116.18
United Arab Emirates,784,1995,0--4,Male,112.3
United Arab Emirates,784,2000,0--4,Male,134.8
United Arab Emirates,784,2005,0--4,Male,146.2
United Arab Emirates,784,2010,0--4,Male,215.65
United Arab Emirates,784,2015,0--4,Male,269.39
Turkey,792,1970,0--4,Male,2795.03
Turkey,792,1975,0--4,Male,3024.74
Turkey,792,1980,0--4,Male,3325.83
Turkey,792,1985,0--4,Male,3509.31
Turkey,792,1990,0--4,Male,3325.03
Turkey,792,1995,0--4,Male,3361.03
Turkey,792,2000,0--4,Male,3346.69
Turkey,792,2005,0--4,Male,3196.23
Turkey,792,2010,0--4,Male,3278.68
Turkey,792,2015,0--4,Male,3168.1
Turkmenistan,795,1970,0--4,Male,179.34
Turkmenistan,795,1975,0--4,Male,201.34
Turkmenistan,795,1980,0--4,Male,219.63
Turkmenistan,795,1985,0--4,Male,251.67
Turkmenistan,795,1990,0--4,Male,293.95
Turkmenistan,795,1995,0--4,Male,301.17
Turkmenistan,795,2000,0--4,Male,248.71
Turkmenistan,795,2005,0--4,Male,256.8
Turkmenistan,795,2010,0--4,Male,256.86
Turkmenistan,795,2015,0--4,Male,262.89
Uzbekistan,860,1970,0--4,Male,968.65
Uzbekistan,860,1975,0--4,Male,1110.46
Uzbekistan,860,1980,0--4,Male,1220.45
Uzbekistan,860,1985,0--4,Male,1447.39
Uzbekistan,860,1990,0--4,Male,1663.19
Uzbekistan,860,1995,0--4,Male,1682.74
Uzbekistan,860,2000,0--4,Male,1455.95
Uzbekistan,860,2005,0--4,Male,1316.19
Uzbekistan,860,2010,0--4,Male,1395.06
Uzbekistan,860,2015,0--4,Male,1414.21
Yemen,887,1970,0--4,Male,581.11
Yemen,887,1975,0--4,Male,654.74
Yemen,887,1980,0--4,Male,861.09
Yemen,887,1985,0--4,Male,1128
Yemen,887,1990,0--4,Male,1325.82
Yemen,887,1995,0--4,Male,1533.96
Yemen,887,2000,0--4,Male,1626.97
Yemen,887,2005,0--4,Male,1805.23
Yemen,887,2010,0--4,Male,2070.27
Yemen,887,2015,0--4,Male,2314.36
Afghanistan,4,1970,5--9,Male,875.15
Afghanistan,4,1975,5--9,Male,1007.9
Afghanistan,4,1980,5--9,Male,1073.46
Afghanistan,4,1985,5--9,Male,963.11
Afghanistan,4,1990,5--9,Male,1012.11
Afghanistan,4,1995,5--9,Male,1563.53
Afghanistan,4,2000,5--9,Male,1834.53
Afghanistan,4,2005,5--9,Male,2272.16
Afghanistan,4,2010,5--9,Male,2468.07
Afghanistan,4,2015,5--9,Male,2690.99
Azerbaijan,31,1970,5--9,Male,419.94
Azerbaijan,31,1975,5--9,Male,385.14
Azerbaijan,31,1980,5--9,Male,343.92
Azerbaijan,31,1985,5--9,Male,357.79
Azerbaijan,31,1990,5--9,Male,420.79
Azerbaijan,31,1995,5--9,Male,477.47
Azerbaijan,31,2000,5--9,Male,453.43
Azerbaijan,31,2005,5--9,Male,316.27
Azerbaijan,31,2010,5--9,Male,301.15
Azerbaijan,31,2015,5--9,Male,427.94
Bahrain,48,1970,5--9,Male,15.08
Bahrain,48,1975,5--9,Male,17.42
Bahrain,48,1980,5--9,Male,19.96
Bahrain,48,1985,5--9,Male,22.76
Bahrain,48,1990,5--9,Male,27.11
Bahrain,48,1995,5--9,Male,29.01
Bahrain,48,2000,5--9,Male,30.98
Bahrain,48,2005,5--9,Male,35.21
Bahrain,48,2010,5--9,Male,40.15
Bahrain,48,2015,5--9,Male,56.17
Bangladesh,50,1970,5--9,Male,4924.99
Bangladesh,50,1975,5--9,Male,5528.21
Bangladesh,50,1980,5--9,Male,5886.44
Bangladesh,50,1985,5--9,Male,6838.65
Bangladesh,50,1990,5--9,Male,7663.09
Bangladesh,50,1995,5--9,Male,8131.01
Bangladesh,50,2000,5--9,Male,8260.12
Bangladesh,50,2005,5--9,Male,8266.5
Bangladesh,50,2010,5--9,Male,8092.07
Bangladesh,50,2015,5--9,Male,7361.05
Armenia,51,1970,5--9,Male,184.22
Armenia,51,1975,5--9,Male,156.28
Armenia,51,1980,5--9,Male,154.8
Armenia,51,1985,5--9,Male,166.2
Armenia,51,1990,5--9,Male,187.19
Armenia,51,1995,5--9,Male,173.61
Armenia,51,2000,5--9,Male,140.07
Armenia,51,2005,5--9,Male,103.11
Armenia,51,2010,5--9,Male,111.04
Armenia,51,2015,5--9,Male,118.28
Bhutan,64,1970,5--9,Male,20.82
Bhutan,64,1975,5--9,Male,24.55
Bhutan,64,1980,5--9,Male,29.58
Bhutan,64,1985,5--9,Male,35.41
Bhutan,64,1990,5--9,Male,39.56
Bhutan,64,1995,5--9,Male,39.09
Bhutan,64,2000,5--9,Male,39.72
Bhutan,64,2005,5--9,Male,36.02
Bhutan,64,2010,5--9,Male,36.3
Bhutan,64,2015,5--9,Male,36.17
Brunei Darussalam,96,1970,5--9,Male,9.27
Brunei Darussalam,96,1975,5--9,Male,9.72
Brunei Darussalam,96,1980,5--9,Male,12.93
Brunei Darussalam,96,1985,5--9,Male,14.97
Brunei Darussalam,96,1990,5--9,Male,14.74
Brunei Darussalam,96,1995,5--9,Male,16.79
Brunei Darussalam,96,2000,5--9,Male,17.46
Brunei Darussalam,96,2005,5--9,Male,17.22
Brunei Darussalam,96,2010,5--9,Male,18.32
Brunei Darussalam,96,2015,5--9,Male,19.43
Myanmar,104,1970,5--9,Male,1781.33
Myanmar,104,1975,5--9,Male,2004.85
Myanmar,104,1980,5--9,Male,2291.33
Myanmar,104,1985,5--9,Male,2297.57
Myanmar,104,1990,5--9,Male,2352.28
Myanmar,104,1995,5--9,Male,2414.89
Myanmar,104,2000,5--9,Male,2289.2
Myanmar,104,2005,5--9,Male,2208.13
Myanmar,104,2010,5--9,Male,2022.71
Myanmar,104,2015,5--9,Male,1952.56
Cambodia,116,1970,5--9,Male,492.3
Cambodia,116,1975,5--9,Male,514.17
Cambodia,116,1980,5--9,Male,463.6
Cambodia,116,1985,5--9,Male,337.06
Cambodia,116,1990,5--9,Male,856
Cambodia,116,1995,5--9,Male,886.07
Cambodia,116,2000,5--9,Male,924.77
Cambodia,116,2005,5--9,Male,804.97
Cambodia,116,2010,5--9,Male,741.64
Cambodia,116,2015,5--9,Male,742.59
Sri Lanka,144,1970,5--9,Male,833.47
Sri Lanka,144,1975,5--9,Male,884.2
Sri Lanka,144,1980,5--9,Male,889.96
Sri Lanka,144,1985,5--9,Male,953.22
Sri Lanka,144,1990,5--9,Male,972.61
Sri Lanka,144,1995,5--9,Male,887.92
Sri Lanka,144,2000,5--9,Male,839.04
Sri Lanka,144,2005,5--9,Male,798.16
Sri Lanka,144,2010,5--9,Male,886.32
Sri Lanka,144,2015,5--9,Male,955.57
China,156,1970,5--9,Male,52592.04
China,156,1975,5--9,Male,66675.1
China,156,1980,5--9,Male,63948.74
